Correo,Nombre,Apellido,Telefono,Estado,Municipio,RazonSocial,Cargo,OtroCargo,NoEmpleados,SolucionInteres,ServicioInteres,Mensaje,CreatedAt,Region,CorreoComercial,AvisoPrivacidad,Newsletter,Tipo,utm_source,utm_medium,utm_campaign,utm_content
juan.perez@empresa.com,Juan,Pérez,5555551234,JALISCO,Guadalajara,Empresa S.A.,Gerente,,1 a 5,Conectividad Telcel,eSIM,Interesado en eSIM,2025-03-11 10:30:00,R1,ignacio.sanchez@telcel.com,true,true,COV,google,cpc,telcel_2025,ads
maria.garcia@empresa.com,María,García,5555552345,JALISCO,Zapopan,Comercio México,Director,,5 a 25,Comunicación Empresarial,SekurMessenger,Consulta sobre mensajería,2025-03-11 11:15:00,R1,ignacio.sanchez@telcel.com,true,false,COE,facebook,organic,empresas_feb,post
carlos.lopez@empresa.com,Carlos,López,5555553456,ESTADO DE MÉXICO,Toluca,Industrial Tech,Analista,,25 a 50,Seguridad,Control de Dispositivos MDM,Presupuesto para MDM,2025-03-11 13:45:00,R2,manuel.zuniga@telcel.com,true,true,SEG,linkedin,organic,seguridad,article
ana.martinez@empresa.com,Ana,Martínez,5555554567,GUANAJUATO,León,Servicios Logísticos,CEO/COO,,100 a 500,Gestión Vehicular Telcel,Telemetría,Conocer solución de telemetría,2025-03-11 09:30:00,R3,alberto.sifuentes@telcel.com,true,false,GVT,google,cpc,vehicular,ads
diego.hernandez@empresa.com,Diego,Hernández,5555555678,PUEBLA,Puebla,Distribuidora Nacional,Jefe,,50 a 100,Gestión de Fuerza en Campo,Cobranza,Sistema de cobranza móvil,2025-03-11 14:20:00,R4,americo.chapa@telcel.com,true,true,GFC,direct,organic,gfc,email
laura.sanchez@empresa.com,Laura,Sánchez,5555556789,VERACRUZ,Xalapa,Consultoría Empresarial,Especialista,,5 a 25,Mobile Marketing,Mensajería Masiva Empresarial,Campaña de mensajería,2025-03-11 10:00:00,R5,alejandra.munoz@telcel.com,true,true,MOM,google,display,mobile_2025,banner
andres.rodriguez@empresa.com,Andrés,Rodríguez,5555557890,MONTERREY,Monterrey,Tech Solutions,Director,,1000+,Business Intelligence,GEODATA,Análisis geográfico de mercado,2025-03-11 15:30:00,R6,luialdve@telcel.com,true,false,BUI,linkedin,paid,bi_enterprise,campaign
patricia.flores@empresa.com,Patricia,Flores,5555558901,SONORA,Hermosillo,Manufactura del Norte,Gerente,,500 a 1000,Servicios Cloud,Microsoft 365,Migración a la nube,2025-03-11 11:45:00,R7,juan.galicia@telcel.com,true,true,SEC,google,cpc,cloud_2025,ads
fernando.torres@empresa.com,Fernando,Torres,5555559012,BAJA CALIFORNIA,Tijuana,Construcción y Desarrollo,Contador,,100 a 500,Conectividad Telcel,Conectividad Avanzada M2M,IoT industrial,2025-03-11 12:30:00,R8,maria.rodriguez@telcel.com,true,false,COV,google,organic,m2m,search
rosa.mendez@empresa.com,Rosa,Méndez,5555560123,QUINTANA ROO,Cancún,Turismo Operador,Asistente,,25 a 50,Mobile Marketing,Datos Patrocinados,Programa de datos patrocinados,2025-03-11 16:00:00,R9,alma.laura@telcel.com,true,true,MOM,facebook,organic,mobile,post
victor.gutierrez@empresa.com,Víctor,Gutiérrez,5555561234,CDMX,Cuauhtémoc,Agencia Digital,Especialista,,5 a 25,Business Intelligence,Autenticación Móvil,Solución de autenticación,2025-03-11 09:00:00,R1,ignacio.sanchez@telcel.com,true,false,BUI,google,cpc,auth_mobile,ads
sofia.reyes@empresa.com,Sofía,Reyes,5555562345,JALISCO,Puerto Vallarta,Resort Internacional,Director,,50 a 100,Mobile Marketing,Recompensas,Programa de recompensas,2025-03-11 13:15:00,R2,manuel.zuniga@telcel.com,true,true,MOM,direct,referral,rewards,promo
miguel.castillo@empresa.com,Miguel,Castillo,5555563456,CHIAPAS,Tuxtla Gutiérrez,Grupo Empresarial,Dueño/Propietario,,1 a 5,Seguridad,Norton Antivirus Empresarial,Protección antivirus,2025-03-11 14:50:00,R3,alberto.sifuentes@telcel.com,true,false,SEG,google,organic,antivirus,search
elena.vargas@empresa.com,Elena,Vargas,5555564567,TAMAULIPAS,Nuevo Laredo,Importador-Exportador,Gerente,,100 a 500,Gestión de Fuerza en Campo,Promotoría y Merchandising,Visibilidad en sucursales,2025-03-11 10:30:00,R4,americo.chapa@telcel.com,true,true,GFC,facebook,paid,promo,ad
gustavo.moreno@empresa.com,Gustavo,Moreno,5555565678,COAHUILA,Saltillo,Minería e Industria,Especialista,,500 a 1000,Servicios Cloud,Google Workspace,Migración a GWS,2025-03-11 15:45:00,R5,alejandra.munoz@telcel.com,true,false,SEC,linkedin,organic,cloud,article
valentina.soto@empresa.com,Valentina,Soto,5555566789,SINALOA,Culiacán,Retail Commerce,Director,,100 a 500,Business Intelligence,Indicadores móviles,Dashboard de ventas,2025-03-11 12:00:00,R6,luialdve@telcel.com,true,true,BUI,google,paid,analytics,campaign
lucas.morales@empresa.com,Lucas,Morales,5555567890,NAYARIT,Tepic,Hotel y Restaurantes,Jefe,,25 a 50,Mobile Marketing,Mensajes RCS,Comunicación RCS avanzada,2025-03-11 09:20:00,R7,juan.galicia@telcel.com,true,false,MOM,email,newsletter,rcs,promo
isabella.torres@empresa.com,Isabella,Torres,5555568901,DURANGO,Durango,Educación Superior,Asistente,,1 a 5,Comunicación Empresarial,Formularios Verum,Recopilación de datos,2025-03-11 11:30:00,R8,maria.rodriguez@telcel.com,true,true,COE,google,organic,forms,search
pablo.cruz@empresa.com,Pablo,Cruz,5555569012,AGUASCALIENTES,Aguascalientes,Manufactura Estatal,Analista,,50 a 100,Conectividad Telcel,Redes Privadas de Datos,Red privada corporativa,2025-03-11 14:10:00,R9,alma.laura@telcel.com,true,false,COV,linkedin,paid,vpn,campaign
camila.jimenez@empresa.com,Camila,Jiménez,5555570123,ZACATECAS,Zacatecas,Consultoría Minera,Director,,500 a 1000,Seguridad,Lookout,Seguridad móvil,2025-03-11 16:30:00,R1,ignacio.sanchez@telcel.com,true,true,SEG,google,cpc,mobile_security,ads
