Correo,Nombre,Apellido,Telefono,Estado,Municipio,RazonSocial,Cargo,OtroCargo,NoEmpleados,SolucionInteres,ServicioInteres,Mensaje,AvisoPrivacidad,Newsletter,CreatedAt,UpdatedAt,Tipo,Region,CorreoComercial,CorreoMkt,utm_source,utm_medium,utm_campaign,utm_content
kajoyo9700@cimario.com,TEST,TEST,5555555555,Baja California,Ensenada,Courtavenue SA,Gerente,,5 a 25,Conectividad Telcel,eSIM,PRUEBA PARA R1 MENOR A 50 EMPLEADOS -> CONECTIVIDAD ->ESIM,True,True,2/5/2026 6:53:43 PM,2/5/2026 6:53:43 PM,COT,R1,ignacio.sanchez@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
xikideb744@dnsclick.com,TEST,TEST,5555555555,Baja California Sur,La Paz,Courtavenue SA,Director,,50 a 100,Comunicación Empresarial,Control de Ventas,PRUEBA PARA R1 MAYOR A 50 EMPLEADOS -> COMUNICACIÓN EMPRESARIAL ->CONTROL DE VENTAS,True,True,2/5/2026 6:59:29 PM,2/5/2026 6:59:29 PM,COT,R1,melpadsa@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
devegi7469@codgal.com,TEST,TEST,5555555555,Sinaloa,Angostura,Courtavenue SA,Asistente,,5 a 25,Gestión de Fuerza en Campo,Promotoría y Merchandising,PRUEBA PARA R2 MENOR A 50 EMPLEADOS -> GVT ->PROMOTORIA Y MERCHANDAISING,True,True,2/5/2026 7:02:26 PM,2/5/2026 7:02:26 PM,GFC,R2,manuel.zuniga@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
vixalog664@codgal.com,TEST,TEST,5555555555,Sonora,Caborca,Courtavenue SA,Otro,OTRO CARGO DE PRUEBA,100 a 500,Gestión de Fuerza en Campo,Control de Sucursales,PRUEBA PARA R2 MAYOR A 50 EMPLEADOS -> GFC -> CONTROL DE SUCURSALES,True,True,2/5/2026 7:05:36 PM,2/5/2026 7:05:36 PM,COT,R2,adrian.huerta@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
celeci9428@codgal.com,TEST,TEST,5555555555,Chihuahua,Aldama,Courtavenue SA,Director,,1 a 5,Servicios Cloud,Microsoft 365,PRUEBA PARA R3 MENOR A 50 EMPLEADOS -> SERVICIOS CLOUD -> MICROSOFT 365,True,True,2/5/2026 7:08:05 PM,2/5/2026 7:08:05 PM,SEC,R3,fabian.millan@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
digen25667@azeriom.com,TEST,TEST,5555555555,Durango,El Oro,Courtavenue SA,Dueño/Propietario,,500 a 1000,Gestión de Fuerza en Campo,Cobranza,PRUEBA PARA R3 MAYOR A 50 EMPLEADOS -> GFC -> COBRANZA,True,True,2/5/2026 7:10:30 PM,2/5/2026 7:10:30 PM,GFC,R3,marvilce@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
nayayik538@dnsclick.com,TEST,TEST,5555555555,Nuevo León,Cadereyta Jiménez,Courtavenue SA,CEO/COO,,1000+,Conectividad Telcel,eSIM,PRUEBA PARA R4 MAYOR A 50 EMPLEADOS -> CONECTIVIDAD -> eSIM,True,True,2/5/2026 7:13:59 PM,2/5/2026 7:13:59 PM,COV,R4,marsanva@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
yekis61723@aixind.com,TEST,TEST,5555555555,Jalisco,Acatlán de Juárez,Courtavenue SA,Alcalde/Secretario,,25 a 50,Gestión Vehicular Telcel,Telemetría,PRUEBA PARA R5 MENOR A 50 EMPLEADOS -> GVT-> tELEMETRÍA,True,True,2/5/2026 7:15:57 PM,2/5/2026 7:15:57 PM,GVT,R5,alejandra.munoz@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
yogeg96087@helesco.com,TEST,TEST,5555555555,Nayarit,Ixtlán del Río,Courtavenue SA,Jefe,,500 a 1000,Gestión Vehicular Telcel,Cadena de Frío,PRUEBA PARA R5 MAYOR A 50 EMPLEADOS -> GVT-> CADENA DE FRÍO,True,True,2/5/2026 7:17:17 PM,2/5/2026 7:17:17 PM,GVT,R5,luiortpa@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
rohel57797@helesco.com,TEST,TEST,5555555555,Aguascalientes,Asientos,Courtavenue SA,Asistente,,5 a 25,Conectividad Telcel,Redes Privadas de Datos,PRUEBA PARA R6 MENOR A 50 EMPLEADOS -> CONECTIVIDAD -> REDES PRIVADAS DE DATOS,True,True,2/5/2026 7:23:51 PM,2/5/2026 7:23:51 PM,COT,R6,luialdve@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
noexiste1@noexiste1.com,TEST,TEST,5555555555,Querétaro,Corregidora,Courtavenue SA,Alcalde/Secretario,,500 a 1000,Seguridad,Lookout,PRUEBA PARA R6 MAYOR A 50 EMPLEADOS -> SEGURIDAD -> LOOKOUT,True,True,2/5/2026 7:25:54 PM,2/5/2026 7:25:54 PM,COT,R6,jorge.galvan@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
noexiste2@noexiste2.com,TEST,TEST,5555555555,Guerrero,Arcelia,Courtavenue SA,Asistente,,1 a 5,Conectividad Telcel,Conectividad Avanzada M2M,PRUEBA PARA R7 MENOR A 50 EMPLEADOS -> CONECTIVIDAD -> M2M,True,True,2/5/2026 7:28:07 PM,2/5/2026 7:28:07 PM,COT,R7,juan.galicia@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
noexiste3@noexiste3.com,TEST,TEST,5555555555,Puebla,Acatlán,Courtavenue SA,Especialista,,1000+,Servicios Cloud,Hosting y Desarrollo Web,PRUEBA PARA R7 MAYOR A 50 EMPLEADOS -> SERVICIOS CLOUD -> HOSTING,True,True,2/5/2026 7:29:25 PM,2/5/2026 7:29:25 PM,SEC,R7,mauricio.apam@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
noexiste4@noexiste4.com,TEST,TEST,5555555555,Chiapas,Altamirano,Courtavenue SA,Alcalde/Secretario,,25 a 50,Servicios Cloud,G Suite,PRUEBA PARA R8 MENOR A 50 EMPLEADOS -> SERVICIOS CLOUD-> GOOGLE WORKSPACE,True,True,2/5/2026 7:31:06 PM,2/5/2026 7:31:06 PM,SEC,R8,maria.rodriguez@telcel.com,gisela.sosa@demo.reseller.telcel.com,,,,
